Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
R31,5153,303028.9,9583163,0,Topo,Topo2,,11/20/2024,RL
R31,5154,303028.9,9583173,0,Topo,Topo2,,11/20/2024,RL
R31,5155,303028.9,9583183,0,Topo,Topo2,,11/20/2024,RL
R31,5156,303028.9,9583193,0,Topo,Topo2,,11/20/2024,RL
R31,5157,303028.9,9583203,0,Topo,Topo2,,11/20/2024,RL
R31,5158,303028.9,9583213,0,Topo,Topo2,,11/20/2024,RL
R31,5159,303028.9,9583223,0,Topo,Topo2,,11/20/2024,RL
R31,5160,303028.9,9583233,0,Topo,Topo2,,11/20/2024,RL
R31,5161,303028.9,9583243,0,Topo,Topo2,,11/20/2024,RL
R31,5162,303028.9,9583253,0,Topo,Topo2,,11/20/2024,RL
R31,5163,303028.9,9583263,0,Topo,Topo2,,11/20/2024,RL
R31,5164,303028.9,9583273,0,Topo,Topo2,,11/20/2024,RL
R31,5165,303028.9,9583283,0,Topo,Topo2,,11/20/2024,RL
R31,5166,303028.9,9583293,0,Topo,Topo2,,11/20/2024,RL
R31,5167,303028.9,9583303,0,Topo,Topo2,,11/20/2024,RL
R31,5168,303028.9,9583313,0,Topo,Topo2,,11/20/2024,RL
R31,5169,303028.9,9583323,0,Topo,Topo2,,11/20/2024,RL
R31,5170,303028.9,9583333,0,Topo,Topo2,,11/20/2024,RL
R31,5171,303028.9,9583343,0,Topo,Topo2,,11/20/2024,RL
R31,5172,303028.9,9583353,0,Topo,Topo2,,11/20/2024,RL
R31,5173,303028.9,9583363,0,Topo,Topo2,,11/20/2024,RL
R31,5174,303028.9,9583373,0,Topo,Topo2,,11/20/2024,RL
R31,5175,303028.9,9583383,0,Topo,Topo2,,11/20/2024,RL
R31,5176,303028.9,9583393,0,Topo,Topo2,,11/20/2024,RL
R31,5177,303028.9,9583403,0,Topo,Topo2,,11/20/2024,RL
R31,5178,303028.9,9583413,0,Topo,Topo2,,11/20/2024,RL
R31,5179,303028.9,9583423,0,Topo,Topo2,,11/20/2024,RL
R31,5180,303028.9,9583433,0,Topo,Topo2,,11/20/2024,RL
R31,5181,303028.9,9583443,0,Topo,Topo2,,11/20/2024,RL
R31,5182,303028.9,9583453,0,Topo,Topo2,,11/20/2024,RL
R31,5183,303028.9,9583463,0,Topo,Topo2,,11/20/2024,RL
R31,5184,303028.9,9583473,0,Topo,Topo2,,11/20/2024,RL
R31,5185,303028.9,9583483,0,Topo,Topo2,,11/20/2024,RL
R31,5186,303028.9,9583493,0,Topo,Topo2,,11/20/2024,RL
R31,5187,303028.9,9583503,0,Topo,Topo2,,11/20/2024,RL
R31,5188,303028.9,9583513,0,Topo,Topo2,,11/20/2024,RL
R31,5189,303028.9,9583523,0,Topo,Topo2,,11/20/2024,RL
R31,5190,303028.9,9583533,0,Topo,Topo2,,11/20/2024,RL
R31,5191,303028.9,9583543,0,Topo,Topo2,,11/20/2024,RL
R31,5192,303028.9,9583553,0,Topo,Topo2,,11/20/2024,RL
R31,5193,303028.9,9583563,0,Topo,Topo2,,11/20/2024,RL
R31,5194,303028.9,9583573,0,Topo,Topo2,,11/20/2024,RL
R31,5195,303028.9,9583583,0,Topo,Topo2,,11/20/2024,RL
R31,5196,303028.9,9583593,0,Topo,Topo2,,11/20/2024,RL
R31,5197,303028.9,9583603,0,Topo,Topo2,,11/20/2024,RL
R31,5198,303028.9,9583613,0,Topo,Topo2,,11/20/2024,RL
R31,5199,303028.9,9583623,0,Topo,Topo2,,11/20/2024,RL
R31,5200,303028.9,9583633,0,Topo,Topo2,,11/20/2024,RL
R31,5201,303028.9,9583643,0,Topo,Topo2,,11/20/2024,RL
R31,5202,303028.9,9583653,0,Topo,Topo2,,11/20/2024,RL
R31,5203,303028.9,9583663,0,Topo,Topo2,,11/20/2024,RL
R31,5204,303028.9,9583673,0,Topo,Topo2,,11/20/2024,RL
R31,5205,303028.9,9583683,0,Topo,Topo2,,11/20/2024,RL
R31,5206,303028.9,9583693,0,Topo,Topo2,,11/20/2024,RL
R31,5207,303028.9,9583703,0,Topo,Topo2,,11/20/2024,RL
R31,5208,303028.9,9583713,0,Topo,Topo2,,11/20/2024,RL
R31,5209,303028.9,9583723,0,Topo,Topo2,,11/20/2024,RL
R31,5210,303028.9,9583733,0,Topo,Topo2,,11/20/2024,RL
R31,5211,303028.9,9583743,0,Topo,Topo2,,11/20/2024,RL
R31,5212,303028.9,9583753,0,Topo,Topo2,,11/20/2024,RL
R31,5213,303028.9,9583763,0,Topo,Topo2,,11/20/2024,RL
R31,5214,303028.9,9583773,0,Topo,Topo2,,11/20/2024,RL
R31,5215,303028.9,9583783,0,Topo,Topo2,,11/20/2024,RL
R31,5216,303028.9,9583793,0,Topo,Topo2,,11/20/2024,RL
R31,5217,303028.9,9583803,0,Topo,Topo2,,11/20/2024,RL
R31,5218,303028.9,9583813,0,Topo,Topo2,,11/20/2024,RL
R31,5219,303028.9,9583823,0,Topo,Topo2,,11/20/2024,RL
R31,5220,303028.9,9583833,0,Topo,Topo2,,11/20/2024,RL
R31,5221,303028.9,9583843,0,Topo,Topo2,,11/20/2024,RL
R31,5222,303028.9,9583853,0,Topo,Topo2,,11/20/2024,RL
R31,5223,303028.9,9583863,0,Topo,Topo2,,11/20/2024,RL
R31,5224,303028.9,9583873,0,Topo,Topo2,,11/20/2024,RL
R31,5225,303028.9,9583883,0,Topo,Topo2,,11/20/2024,RL
R31,5226,303028.9,9583893,0,Topo,Topo2,,11/20/2024,RL
R31,5227,303028.9,9583903,0,Topo,Topo2,,11/20/2024,RL
R31,5228,303028.9,9583913,0,Topo,Topo2,,11/20/2024,RL
R31,5229,303028.9,9583923,0,Topo,Topo2,,11/20/2024,RL
R31,5230,303028.9,9583933,0,Topo,Topo2,,11/20/2024,RL
R31,5231,303028.9,9583943,0,Topo,Topo2,,11/20/2024,RL
R31,5232,303028.9,9583953,0,Topo,Topo2,,11/20/2024,RL
R31,5233,303028.9,9583963,0,Topo,Topo2,,11/20/2024,RL
R31,5234,303028.9,9583973,0,Topo,Topo2,,11/20/2024,RL
R31,5235,303028.9,9583983,0,Topo,Topo2,,11/20/2024,RL
R31,5236,303028.9,9583993,0,Topo,Topo2,,11/20/2024,RL
R31,5237,303028.9,9584003,0,Topo,Topo2,,11/20/2024,RL
R31,5238,303028.9,9584013,0,Topo,Topo2,,11/20/2024,RL
R31,5239,303028.9,9584023,0,Topo,Topo2,,11/20/2024,RL
R31,5240,303028.9,9584033,0,Topo,Topo2,,11/20/2024,RL
R31,5241,303028.9,9584043,0,Topo,Topo2,,11/20/2024,RL
R31,5242,303028.9,9584053,0,Topo,Topo2,,11/20/2024,RL
R31,5243,303028.9,9584063,0,Topo,Topo2,,11/20/2024,RL
R31,5244,303028.9,9584073,0,Topo,Topo2,,11/20/2024,RL
R31,5245,303028.9,9584083,0,Topo,Topo2,,11/20/2024,RL
