Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
S7,1173,303703.9,9583063,0,,,,,
S7,1174,303723.9,9583063,0,,,,,
S7,1175,303743.9,9583063,0,,,,,
S7,1176,303763.9,9583063,0,,,,,
S7,1177,303783.9,9583063,0,,,,,
S7,1178,303803.9,9583063,0,,,,,
S7,1179,303823.9,9583063,0,,,,,
S7,1180,303843.9,9583063,0,,,,,
S7,1181,303863.9,9583063,0,,,,,
S7,1182,303883.9,9583063,0,,,,,
S7,1183,303903.9,9583063,0,,,,,
S7,1184,303923.9,9583063,0,,,,,
S7,1185,303943.9,9583063,0,,,,,
S7,1186,303963.9,9583063,0,,,,,
S7,1187,303983.9,9583063,0,,,,,
S7,1188,304003.9,9583063,0,,,,,
S7,1189,304023.9,9583063,0,,,,,
S7,1190,304043.9,9583063,0,,,,,
S7,1191,304063.9,9583063,0,,,,,
S7,1192,304083.9,9583063,0,,,,,
S7,1193,304103.9,9583063,0,,,,,
S7,1194,304123.9,9583063,0,,,,,
S7,1195,304143.9,9583063,0,,,,,
S7,1196,304163.9,9583063,0,,,,,
S7,1197,304183.9,9583063,0,,,,,
S7,1198,304203.9,9583063,0,,,,,
S7,1199,304223.9,9583063,0,,,,,
S7,1200,304243.9,9583063,0,,,,,
S7,1201,304263.9,9583063,0,,,,,
S7,1202,304283.9,9583063,0,,,,,
S7,1203,304303.9,9583063,0,,,,,
S7,1204,304323.9,9583063,0,,,,,
S7,1205,304343.9,9583063,0,,,,,
S7,1206,304363.9,9583063,0,,,,,
S7,1207,304383.9,9583063,0,,,,,
S7,1208,304403.9,9583063,0,,,,,
S7,1209,304423.9,9583063,0,,,,,
S7,1210,304443.9,9583063,0,,,,,
S7,1211,304463.9,9583063,0,,,,,
S7,1212,304483.9,9583063,0,,,,,
S7,1213,304503.9,9583063,0,,,,,
S7,1214,304523.9,9583063,0,,,,,
S7,1215,304543.9,9583063,0,,,,,
S7,1216,304563.9,9583063,0,,,,,
S7,1217,304583.9,9583063,0,,,,,
S7,1218,304603.9,9583063,0,,,,,
S7,1219,304623.9,9583063,0,,,,,
S7,1220,304643.9,9583063,0,,,,,
S7,1221,304663.9,9583063,0,,,,,
S7,1222,304683.9,9583063,0,,,,,
S7,1223,304703.9,9583063,0,,,,,
S7,1224,304723.9,9583063,0,,,,,
S7,1225,304743.9,9583063,0,,,,,
S7,1226,304763.9,9583063,0,,,,,
S7,1227,304783.9,9583063,0,,,,,
S7,1228,304803.9,9583063,0,,,,,
S7,1229,304823.9,9583063,0,,,,,
S7,1230,304843.9,9583063,0,,,,,
S7,1231,304863.9,9583063,0,,,,,
S7,1232,304883.9,9583063,0,,,,,
S7,1233,304903.9,9583063,0,,,,,
S7,1234,304923.9,9583063,0,,,,,
S7,1235,304943.9,9583063,0,,,,,
S7,1236,304963.9,9583063,0,,,,,
S7,1237,304983.9,9583063,0,,,,,
S7,1238,305003.9,9583063,0,,,,,
S7,1239,305023.9,9583063,0,,,,,
S7,1240,305043.9,9583063,0,,,,,
S7,1241,305063.9,9583063,0,,,,,
S7,1242,305083.9,9583063,0,,,,,
S7,1243,305103.9,9583063,0,,,,,
S7,1244,305123.9,9583063,0,,,,,
S7,1245,305143.9,9583063,0,,,,,
S7,1246,305163.9,9583063,0,,,,,
S7,1247,305183.9,9583063,0,,,,,
S7,1248,305203.9,9583063,0,,,,,
S7,1249,305223.9,9583063,0,,,,,
S7,1250,305243.9,9583063,0,,,,,
S8,1151,303263.9,9583213,0,,,,,
S8,1152,303283.9,9583213,0,,,,,
S8,1153,303303.9,9583213,0,,,,,
S8,1154,303323.9,9583213,0,,,,,
S8,1155,303343.9,9583213,0,,,,,
S8,1156,303363.9,9583213,0,,,,,
S8,1157,303383.9,9583213,0,,,,,
S8,1158,303403.9,9583213,0,,,,,
S8,1159,303423.9,9583213,0,,,,,
S8,1160,303443.9,9583213,0,,,,,
S8,1161,303463.9,9583213,0,,,,,
S8,1162,303483.9,9583213,0,,,,,
S8,1163,303503.9,9583213,0,,,,,
S8,1164,303523.9,9583213,0,,,,,
S8,1165,303543.9,9583213,0,,,,,
S8,1166,303563.9,9583213,0,,,,,
S8,1167,303583.9,9583213,0,,,,,
S8,1168,303603.9,9583213,0,,,,,
S8,1169,303623.9,9583213,0,,,,,
S8,1170,303643.9,9583213,0,,,,,
S8,1171,303663.9,9583213,0,,,,,
S8,1172,303683.9,9583213,0,,,,,
S8,1173,303703.9,9583213,0,,,,,
S8,1174,303723.9,9583213,0,,,,,
S8,1175,303743.9,9583213,0,,,,,
S8,1176,303763.9,9583213,0,,,,,
S8,1177,303783.9,9583213,0,,,,,
S8,1178,303803.9,9583213,0,,,,,
S8,1179,303823.9,9583213,0,,,,,
S8,1180,303843.9,9583213,0,,,,,
S8,1181,303863.9,9583213,0,,,,,
S8,1182,303883.9,9583213,0,,,,,
S8,1183,303903.9,9583213,0,,,,,
S8,1184,303923.9,9583213,0,,,,,
S8,1185,303943.9,9583213,0,,,,,
S8,1186,303963.9,9583213,0,,,,,
S8,1187,303983.9,9583213,0,,,,,
S8,1188,304003.9,9583213,0,,,,,
S8,1189,304023.9,9583213,0,,,,,
S8,1190,304043.9,9583213,0,,,,,
S8,1191,304063.9,9583213,0,,,,,
S8,1192,304083.9,9583213,0,,,,,
S8,1193,304103.9,9583213,0,,,,,
S8,1194,304123.9,9583213,0,,,,,
S8,1195,304143.9,9583213,0,,,,,
S8,1196,304163.9,9583213,0,,,,,
S8,1197,304183.9,9583213,0,,,,,
S8,1198,304203.9,9583213,0,,,,,
S8,1199,304223.9,9583213,0,,,,,
S8,1200,304243.9,9583213,0,,,,,
S8,1201,304263.9,9583213,0,,,,,
S8,1202,304283.9,9583213,0,,,,,
S8,1203,304303.9,9583213,0,,,,,
S8,1204,304323.9,9583213,0,,,,,
S8,1205,304343.9,9583213,0,,,,,
S8,1206,304363.9,9583213,0,,,,,
S8,1207,304383.9,9583213,0,,,,,
S8,1208,304403.9,9583213,0,,,,,
S8,1209,304423.9,9583213,0,,,,,
S8,1210,304443.9,9583213,0,,,,,
S8,1211,304463.9,9583213,0,,,,,
S8,1212,304483.9,9583213,0,,,,,
S8,1213,304503.9,9583213,0,,,,,
S8,1214,304523.9,9583213,0,,,,,
S8,1215,304543.9,9583213,0,,,,,
S8,1216,304563.9,9583213,0,,,,,
S8,1217,304583.9,9583213,0,,,,,
S8,1218,304603.9,9583213,0,,,,,
S8,1219,304623.9,9583213,0,,,,,
S8,1220,304643.9,9583213,0,,,,,
S8,1221,304663.9,9583213,0,,,,,
S8,1222,304683.9,9583213,0,,,,,
S8,1223,304703.9,9583213,0,,,,,
S8,1224,304723.9,9583213,0,,,,,
S8,1225,304743.9,9583213,0,,,,,
S8,1226,304763.9,9583213,0,,,,,
S8,1227,304783.9,9583213,0,,,,,
S8,1228,304803.9,9583213,0,,,,,
S8,1229,304823.9,9583213,0,,,,,
S8,1230,304843.9,9583213,0,,,,,
S8,1231,304863.9,9583213,0,,,,,
S8,1232,304883.9,9583213,0,,,,,
S8,1233,304903.9,9583213,0,,,,,
S8,1234,304923.9,9583213,0,,,,,
S8,1235,304943.9,9583213,0,,,,,
S8,1236,304963.9,9583213,0,,,,,
S8,1237,304983.9,9583213,0,,,,,
S8,1238,305003.9,9583213,0,,,,,
S8,1239,305023.9,9583213,0,,,,,
S8,1240,305043.9,9583213,0,,,,,
S8,1241,305063.9,9583213,0,,,,,
S8,1242,305083.9,9583213,0,,,,,
S8,1243,305103.9,9583213,0,,,,,
S8,1244,305123.9,9583213,0,,,,,
S8,1245,305143.9,9583213,0,,,,,
S8,1246,305163.9,9583213,0,,,,,
S8,1247,305183.9,9583213,0,,,,,
S8,1248,305203.9,9583213,0,,,,,
S8,1249,305223.9,9583213,0,,,,,
S8,1250,305243.9,9583213,0,,,,,
S8,1251,305263.9,9583213,0,,,,,
S8,1252,305283.9,9583213,0,,,,,
S8,1253,305303.9,9583213,0,,,,,
S8,1254,305323.9,9583213,0,,,,,
S8,1255,305343.9,9583213,0,,,,,
S8,1256,305363.9,9583213,0,,,,,
S8,1257,305383.9,9583213,0,,,,,
S8,1258,305403.9,9583213,0,,,,,
S8,1259,305423.9,9583213,0,,,,,
S8,1260,305443.9,9583213,0,,,,,
S8,1261,305463.9,9583213,0,,,,,
S8,1262,305483.9,9583213,0,,,,,
S8,1263,305503.9,9583213,0,,,,,
S8,1264,305523.9,9583213,0,,,,,
S8,1265,305543.9,9583213,0,,,,,
S8,1266,305563.9,9583213,0,,,,,
S8,1267,305583.9,9583213,0,,,,,
S8,1268,305603.9,9583213,0,,,,,
S8,1269,305623.9,9583213,0,,,,,
S8,1270,305643.9,9583213,0,,,,,
S8,1271,305663.9,9583213,0,,,,,
S8,1272,305683.9,9583213,0,,,,,
S8,1273,305703.9,9583213,0,,,,,
S8,1274,305723.9,9583213,0,,,,,
S8,1275,305743.9,9583213,0,,,,,
S8,1276,305763.9,9583213,0,,,,,
S8,1277,305783.9,9583213,0,,,,,
S8,1278,305803.9,9583213,0,,,,,
S8,1279,305823.9,9583213,0,,,,,
S8,1280,305843.9,9583213,0,,,,,
S8,1281,305863.9,9583213,0,,,,,
S8,1282,305883.9,9583213,0,,,,,
S8,1283,305903.9,9583213,0,,,,,
S8,1284,305923.9,9583213,0,,,,,
S8,1285,305943.9,9583213,0,,,,,
S8,1286,305963.9,9583213,0,,,,,
S8,1287,305983.9,9583213,0,,,,,
S8,1288,306003.9,9583213,0,,,,,
S8,1289,306023.9,9583213,0,,,,,
S8,1290,306043.9,9583213,0,,,,,
S8,1291,306063.9,9583213,0,,,,,
S8,1292,306083.9,9583213,0,,,,,
S8,1293,306103.9,9583213,0,,,,,
S8,1294,306123.9,9583213,0,,,,,
S8,1295,306143.9,9583213,0,,,,,
S9,1151,303263.9,9583363,0,,,,,
S9,1152,303283.9,9583363,0,,,,,
S9,1153,303303.9,9583363,0,,,,,
S9,1154,303323.9,9583363,0,,,,,
S9,1155,303343.9,9583363,0,,,,,
S9,1156,303363.9,9583363,0,,,,,
S9,1157,303383.9,9583363,0,,,,,
S9,1158,303403.9,9583363,0,,,,,
S9,1159,303423.9,9583363,0,,,,,
S9,1160,303443.9,9583363,0,,,,,
S9,1161,303463.9,9583363,0,,,,,
S9,1162,303483.9,9583363,0,,,,,
S9,1163,303503.9,9583363,0,,,,,
S9,1164,303523.9,9583363,0,,,,,
S9,1165,303543.9,9583363,0,,,,,
S9,1166,303563.9,9583363,0,,,,,
S9,1167,303583.9,9583363,0,,,,,
S9,1168,303603.9,9583363,0,,,,,
S9,1169,303623.9,9583363,0,,,,,
S9,1170,303643.9,9583363,0,,,,,
S9,1171,303663.9,9583363,0,,,,,
S9,1172,303683.9,9583363,0,,,,,
S9,1173,303703.9,9583363,0,,,,,
S9,1174,303723.9,9583363,0,,,,,
S9,1175,303743.9,9583363,0,,,,,
S9,1176,303763.9,9583363,0,,,,,
S9,1177,303783.9,9583363,0,,,,,
S9,1178,303803.9,9583363,0,,,,,
S9,1179,303823.9,9583363,0,,,,,
S9,1180,303843.9,9583363,0,,,,,
S9,1181,303863.9,9583363,0,,,,,
S9,1182,303883.9,9583363,0,,,,,
S9,1183,303903.9,9583363,0,,,,,
S9,1184,303923.9,9583363,0,,,,,
S9,1185,303943.9,9583363,0,,,,,
S9,1186,303963.9,9583363,0,,,,,
S9,1187,303983.9,9583363,0,,,,,
S9,1188,304003.9,9583363,0,,,,,
S9,1189,304023.9,9583363,0,,,,,
S9,1190,304043.9,9583363,0,,,,,
S9,1191,304063.9,9583363,0,,,,,
S9,1192,304083.9,9583363,0,,,,,
